CO2,Radiation,diameter,humidity,outside_temperature,inside_temperature,measurement,Yield
59.31,22.38,26.84,0.63,59.31,27.53,9.93,27.6
58.36,21.32,26.99,0.64,58.36,26.08,9.87,27.6
59.5,21.98,27.21,0.64,59.5,27.47,9.88,27.6
58.67,20.99,27.15,0.64,58.67,26.09,9.79,27.6
58.42,20.87,27.18,0.64,58.42,25.86,9.81,27.6
63.63,44.35,48.1,0.78,63.63,47.25,9.95,16.5
63.45,43.35,46.59,0.76,63.45,46.42,9.96,16.5
62.83,42.7,45.97,0.77,62.83,45.87,9.95,16.5
62.83,42.36,45.36,0.76,62.83,45.59,9.95,16.5
62.88,42.42,45.57,0.76,62.88,45.64,9.95,16.5
62.93,42.52,45.81,0.76,62.93,45.72,9.95,16.5
61.11,28.39,28.63,0.61,61.11,33.1,10.0,14.6
61.13,28.64,27.93,0.59,61.13,33.96,10.0,14.6
61.21,28.8,29.81,0.64,61.21,33.74,10.0,14.6
61.09,28.5,29.96,0.64,61.09,33.56,10.0,14.6
60.68,27.84,30.63,0.66,60.68,33.31,10.0,14.6
60.7,27.91,30.6,0.66,60.7,33.33,10.0,14.6
61.26,34.59,38.72,0.76,61.26,38.1,9.59,14.2
61.28,34.48,38.75,0.76,61.28,37.98,9.6,14.2
61.19,34.41,38.66,0.76,61.19,37.79,9.59,14.2
61.55,34.84,37.87,0.74,61.55,38.46,9.71,14.2
61.63,34.72,37.89,0.75,61.63,38.47,9.72,14.2
61.57,34.83,37.68,0.74,61.57,38.38,9.72,14.2
71.0,54.59,54.0,0.77,71.0,54.59,9.68,52.2
70.42,54.15,53.68,0.77,70.42,54.15,9.73,52.2
70.46,54.13,53.69,0.77,70.46,54.13,9.75,52.2
70.45,53.67,53.42,0.77,70.45,53.67,9.7,52.2
69.91,52.84,52.92,0.76,69.91,52.84,9.71,52.2
70.06,52.73,52.93,0.76,70.06,52.73,9.69,52.2
71.94,56.29,56.51,0.82,71.94,56.29,9.52,31.5
72.31,55.54,56.38,0.82,72.31,55.54,9.51,31.5
71.91,56.36,56.51,0.82,71.91,56.36,9.52,31.5
71.91,56.37,56.51,0.82,71.91,56.37,9.53,31.5
71.9,56.36,56.5,0.82,71.9,56.36,9.51,31.5
71.9,56.36,56.49,0.82,71.9,56.36,9.5,31.5
41.24,26.61,27.15,0.64,44.77,32.47,10.0,52.4
43.2,27.79,26.33,0.59,46.81,33.03,10.0,52.4
41.91,29.35,27.24,0.59,45.46,35.52,10.0,52.4
41.75,29.44,27.29,0.59,45.39,35.63,10.0,52.4
42.33,29.83,28.48,0.62,45.86,35.32,9.99,52.4
40.08,29.32,27.87,0.59,45.36,35.67,10.0,52.4
39.92,25.84,31.11,0.76,44.48,33.0,9.85,38.4
39.73,26.15,31.17,0.76,44.33,33.09,9.83,38.4
39.45,24.82,30.95,0.76,44.21,32.4,9.86,38.4
39.47,24.81,30.92,0.76,44.3,32.44,9.86,38.4
40.87,24.05,30.48,0.73,46.23,32.3,9.95,38.4
38.73,21.51,29.4,0.82,41.81,29.08,9.86,38.4
56.47,28.76,37.71,0.88,56.47,33.29,7.93,18.1
56.34,28.82,37.84,0.88,56.34,33.55,7.72,18.1
57.03,28.65,38.01,0.9,57.03,31.94,8.21,18.1
57.09,29.89,38.55,0.89,57.09,33.36,7.79,18.1
57.66,29.73,38.35,0.86,57.66,33.6,8.18,18.1
57.11,30.39,38.9,0.89,57.11,33.99,7.4,18.1
67.61,52.31,54.17,0.82,67.61,52.31,9.87,27.1
67.41,51.87,54.31,0.83,67.41,51.87,9.56,27.1
67.74,52.0,54.27,0.83,67.74,52.0,9.65,27.1
67.7,51.89,54.38,0.83,67.7,51.89,9.62,27.1
54.42,25.13,36.83,0.86,54.42,29.94,4.52,47.4
55.19,24.82,36.78,0.85,55.19,29.65,4.58,47.4
54.25,25.19,36.82,0.86,54.25,29.99,4.51,47.4
53.94,25.35,36.94,0.86,53.94,30.16,4.46,47.4
54.21,25.24,36.89,0.86,54.21,30.04,4.49,47.4
54.63,25.83,33.86,0.78,54.63,29.27,6.33,47.4
40.08,29.51,30.16,0.64,46.42,37.08,10.0,34.2
40.0,29.54,30.1,0.64,46.36,37.12,10.0,34.2
37.94,26.82,28.25,0.59,45.34,36.85,10.0,34.2
38.06,26.93,28.18,0.59,45.41,36.86,10.0,34.2
38.03,26.9,28.15,0.59,45.39,36.84,10.0,34.2
39.16,27.65,28.83,0.59,46.27,37.51,10.0,34.2
53.57,17.94,28.55,0.72,53.57,25.27,8.21,51.2
52.22,19.8,28.28,0.72,52.22,25.25,8.65,51.2
50.11,19.43,27.36,0.72,50.11,24.97,9.18,51.2
50.12,19.42,27.36,0.72,50.12,24.97,9.17,51.2
50.11,18.58,27.41,0.73,50.11,24.72,9.31,51.2
50.74,18.85,27.67,0.73,50.74,24.9,8.91,51.2
63.58,48.5,51.8,0.84,63.58,49.61,9.78,13.6
63.78,46.55,51.88,0.85,63.78,48.33,9.73,13.6
65.83,51.12,52.85,0.85,65.83,51.12,8.8,56.6
62.02,25.8,32.65,0.67,62.02,29.64,9.19,31.1
60.99,26.5,34.77,0.75,60.99,30.64,8.85,31.1
61.22,27.72,33.52,0.7,61.22,30.07,8.94,31.1
61.15,27.63,33.48,0.7,61.15,30.03,8.94,31.1
61.1,26.92,34.48,0.74,61.1,30.51,8.82,31.1
61.13,27.4,34.3,0.72,61.13,30.35,8.69,31.1
61.84,35.37,43.41,0.85,61.84,39.88,8.21,23.8
58.25,30.23,39.19,0.86,58.25,33.83,8.07,23.8
58.05,29.83,38.9,0.87,58.05,33.44,8.24,23.8
61.58,35.18,43.55,0.86,61.58,39.63,7.84,23.8
59.93,33.83,40.1,0.82,59.93,37.19,8.6,23.8
59.85,33.5,39.78,0.82,59.85,36.71,8.67,23.8
63.78,50.73,50.57,0.78,63.78,50.73,9.92,11.5
63.27,51.01,50.47,0.79,63.27,51.01,9.88,11.5
62.93,51.05,50.34,0.79,62.93,51.05,9.88,11.5
63.63,51.4,51.56,0.82,63.63,51.4,9.85,11.5
63.55,50.58,51.66,0.83,63.55,50.58,9.82,11.5
63.33,50.84,51.08,0.82,63.33,50.84,9.81,11.5
59.14,36.61,42.57,0.87,59.14,39.27,4.13,22.0
58.66,35.32,41.36,0.87,58.66,37.63,4.8,22.0
58.06,33.43,40.5,0.87,58.06,36.21,6.1,22.0
58.39,34.29,41.63,0.89,58.39,36.97,5.34,22.0
58.5,34.91,41.05,0.88,58.5,37.16,5.2,22.0
58.55,34.14,41.54,0.88,58.55,36.92,5.52,22.0
38.92,31.63,28.14,0.57,45.56,38.4,10.0,32.3
38.94,31.64,28.14,0.57,45.58,38.42,10.0,32.3
39.04,31.58,28.12,0.57,45.63,38.44,10.0,32.3
39.17,31.53,28.1,0.57,45.72,38.47,10.0,32.3
38.92,31.65,28.14,0.57,45.57,38.42,10.0,32.3
35.61,29.32,28.03,0.62,43.08,36.65,10.0,32.3
60.17,31.74,31.22,0.63,60.17,35.75,10.0,24.2
60.03,32.2,30.97,0.61,60.03,36.52,10.0,24.2
60.2,30.4,31.09,0.63,60.2,34.81,10.0,24.2
60.21,29.73,31.02,0.63,60.21,34.41,10.0,24.2
60.15,31.27,30.91,0.61,60.15,35.83,10.0,24.2
60.23,31.31,30.9,0.61,60.23,35.85,10.0,24.2
44.98,28.26,29.61,0.67,48.83,33.13,9.99,40.9
44.98,27.17,28.78,0.65,49.23,32.7,10.0,40.9
44.96,27.16,28.79,0.65,49.21,32.7,10.0,40.9
43.33,27.56,28.37,0.65,47.91,33.33,10.0,40.9
43.48,28.85,27.55,0.61,47.7,34.55,10.0,40.9
43.5,28.84,27.56,0.61,47.71,34.54,10.0,40.9
40.31,27.38,29.23,0.6,47.13,35.77,10.0,48.4
40.83,27.99,29.13,0.58,47.53,37.24,10.0,48.4
40.11,26.56,29.27,0.61,46.97,35.14,10.0,48.4
40.91,27.94,29.15,0.58,47.59,37.23,10.0,48.4
36.34,28.04,27.77,0.57,45.17,37.76,10.0,48.4
41.14,28.56,28.91,0.56,47.78,38.4,10.0,48.4
57.87,19.76,30.92,0.76,57.87,25.59,8.84,44.5
60.26,25.69,32.91,0.73,60.26,28.69,8.96,44.5
60.47,26.14,32.84,0.72,60.47,28.6,9.04,44.5
59.55,24.37,31.45,0.71,59.55,26.69,8.97,44.5
60.91,27.23,33.51,0.71,60.91,29.96,8.89,44.5
58.76,21.76,30.95,0.74,58.76,25.79,9.1,44.5
52.64,31.74,38.29,0.9,52.64,31.74,3.72,51.6
52.46,31.81,38.43,0.9,52.46,31.81,3.7,51.6
52.19,31.8,38.41,0.9,52.19,31.8,3.73,51.6
51.9,31.83,38.47,0.91,51.9,31.83,3.73,51.6
51.16,31.24,39.91,0.95,51.16,32.56,3.96,51.6
51.92,32.41,40.88,0.95,51.92,33.19,4.12,51.6
59.26,14.27,19.49,0.53,59.26,23.67,10.0,33.3
58.96,14.2,19.48,0.53,58.96,23.55,10.0,33.3
58.79,14.13,19.52,0.52,58.79,23.43,10.0,33.3
59.52,16.41,22.15,0.54,59.52,24.42,10.0,33.3
59.56,16.45,21.91,0.55,59.56,24.42,10.0,33.3
58.81,14.12,19.56,0.52,58.81,23.41,10.0,33.3
62.39,37.67,38.72,0.72,62.39,40.3,9.97,9.6
62.4,37.67,38.73,0.72,62.4,40.3,9.97,9.6
62.48,36.29,39.99,0.75,62.48,39.95,9.75,9.6
62.47,36.13,39.96,0.75,62.47,39.89,9.75,9.6
62.41,36.16,39.91,0.75,62.41,39.86,9.74,9.6
62.46,36.18,39.95,0.75,62.46,39.89,9.75,9.6
40.43,27.72,29.22,0.6,47.22,35.98,10.0,42.4
35.66,28.03,27.47,0.57,44.64,37.6,10.0,42.4
36.3,28.48,29.17,0.65,43.9,36.87,9.9,42.4
41.4,29.14,29.93,0.63,47.26,37.5,10.0,42.4
40.84,26.83,29.92,0.66,46.61,35.5,10.0,42.4
36.54,28.0,29.38,0.66,43.91,36.57,9.91,42.4
59.6,28.68,23.64,0.48,59.6,34.01,,17.7
61.11,30.62,27.28,0.53,61.11,35.86,10.0,17.7
60.55,30.15,25.41,0.5,60.55,35.39,10.0,17.7
60.37,29.92,25.22,0.5,60.37,35.1,10.0,17.7
60.48,29.71,24.12,0.48,60.48,34.89,,17.7
61.23,30.01,26.6,0.52,61.23,35.37,10.0,17.7
56.3,19.39,29.5,0.76,56.3,22.78,8.74,35.5
56.43,19.11,29.46,0.77,56.43,22.51,8.86,35.5
56.13,19.85,29.52,0.76,56.13,23.03,8.59,35.5
56.61,18.57,29.43,0.77,56.61,22.23,9.04,35.5
55.88,20.39,29.59,0.76,55.88,23.52,8.36,35.5
55.83,20.49,29.6,0.76,55.83,23.6,8.32,35.5
62.04,43.97,46.98,0.78,62.04,46.91,9.94,23.5
62.58,43.57,47.15,0.78,62.58,46.58,9.94,23.5
61.3,40.29,45.31,0.8,61.3,44.68,9.61,23.5
61.3,40.38,45.42,0.8,61.3,44.76,9.6,23.5
60.45,42.25,45.82,0.79,60.45,46.3,9.89,23.5
62.43,42.7,47.24,0.8,62.43,46.65,9.77,23.5
58.82,39.49,45.75,0.93,58.82,41.08,4.25,32.6
59.16,40.04,46.07,0.93,59.16,41.65,4.38,32.6
59.51,40.56,46.17,0.93,59.51,42.02,4.57,32.6
59.04,38.96,45.17,0.93,59.04,40.78,3.86,32.6
57.65,38.1,44.6,0.94,57.65,39.52,3.69,32.6
58.15,37.7,43.78,0.92,58.15,39.01,3.97,32.6
55.75,20.29,29.4,0.74,55.75,24.78,8.34,25.7
55.26,19.31,28.61,0.7,55.26,25.58,8.45,25.7
54.79,21.77,29.37,0.73,54.79,25.77,7.9,25.7
54.98,21.16,29.16,0.73,54.98,25.5,8.1,25.7
54.79,21.55,29.28,0.73,54.79,25.75,7.95,25.7
54.64,20.04,29.3,0.73,54.64,26.01,7.83,25.7
61.63,43.54,49.31,0.9,61.63,43.54,7.24,69.0
61.96,44.95,49.0,0.8,61.96,48.42,9.81,15.2
61.66,44.48,48.6,0.8,61.66,48.08,9.84,15.2
61.66,44.47,48.59,0.8,61.66,48.04,9.84,15.2
61.86,45.36,48.86,0.82,61.86,47.71,8.84,15.2
61.9,45.31,48.9,0.82,61.9,47.59,8.95,15.2
62.26,46.05,49.24,0.82,62.26,47.57,9.11,15.2
62.35,46.32,50.66,0.83,62.35,47.48,9.64,13.2
62.65,48.64,50.88,0.83,62.65,49.49,9.74,13.2
64.46,46.75,52.05,0.85,64.46,48.64,9.78,13.2
64.46,46.75,52.06,0.85,64.46,48.64,9.78,13.2
64.76,46.93,52.08,0.84,64.76,48.74,9.79,13.2
68.11,47.67,52.63,0.83,68.11,49.71,9.36,63.3
67.9,47.6,52.88,0.84,67.9,49.74,9.21,63.3
68.39,48.12,52.91,0.83,68.39,49.76,9.57,63.3
68.32,48.19,52.88,0.83,68.32,49.77,9.55,63.3
67.91,47.26,52.81,0.84,67.91,49.42,9.17,63.3
68.27,48.01,52.8,0.83,68.27,49.66,9.56,63.3
60.45,32.99,32.99,0.67,60.45,35.69,9.98,17.8
61.6,33.79,35.96,0.72,61.6,37.11,9.97,17.8
62.46,36.07,39.94,0.75,62.46,39.86,9.75,17.8
62.41,36.11,39.9,0.75,62.41,39.84,9.74,17.8
60.85,33.82,34.97,0.69,60.85,37.34,9.98,17.8
60.89,33.79,35.03,0.69,60.89,37.25,9.98,17.8
56.38,37.99,42.27,0.75,56.38,40.77,8.64,66.0
55.46,37.08,42.18,0.77,55.46,40.25,8.68,66.0
56.09,37.67,42.47,0.76,56.09,40.84,8.8,66.0
55.87,37.44,42.37,0.76,55.87,40.59,8.76,66.0
54.16,35.92,41.6,0.78,54.16,38.86,8.28,66.0
53.28,34.73,40.95,0.78,53.28,38.57,8.46,66.0
59.18,26.66,30.23,0.67,59.18,32.24,9.92,14.5
59.21,26.65,30.23,0.66,59.21,32.6,9.92,14.5
59.22,27.51,30.4,0.66,59.22,32.79,9.91,14.5
59.21,27.47,30.31,0.66,59.21,32.73,9.92,14.5
59.14,26.76,30.47,0.66,59.14,32.61,9.91,14.5
59.15,27.31,30.9,0.68,59.15,32.35,9.88,14.5
63.13,38.26,43.33,0.8,63.13,41.21,9.18,15.3
63.1,36.1,42.29,0.8,63.1,40.24,9.37,15.3
63.53,37.13,43.54,0.82,63.53,40.74,8.88,15.3
63.36,37.8,43.75,0.82,63.36,41.05,8.94,15.3
63.39,37.49,43.64,0.82,63.39,40.87,8.94,15.3
63.15,37.24,43.88,0.84,63.15,40.39,8.59,15.3
64.28,46.45,50.9,0.84,64.28,47.11,9.63,25.3
64.19,46.69,50.86,0.83,64.19,47.17,9.64,25.3
64.1,46.67,50.82,0.83,64.1,47.13,9.64,25.3
66.93,46.4,52.34,0.84,66.93,47.59,9.5,25.3
64.99,46.68,51.27,0.84,64.99,47.3,9.35,25.3
64.81,46.52,51.19,0.84,64.81,47.15,9.36,25.3
64.97,45.72,50.29,0.84,64.97,47.63,8.92,42.4
63.94,45.2,50.09,0.85,63.94,47.51,8.4,42.4
64.64,46.47,51.04,0.85,64.64,48.58,8.36,42.4
64.64,46.47,51.01,0.85,64.64,48.58,8.42,42.4
64.75,46.58,51.32,0.85,64.75,48.69,8.45,42.4
64.73,46.54,51.26,0.85,64.73,48.65,8.45,42.4
69.69,53.05,53.75,0.78,69.69,53.05,9.84,33.8
68.94,52.96,53.65,0.79,68.94,52.96,9.8,33.8
68.72,52.9,54.01,0.8,68.72,52.9,9.84,33.8
68.74,52.91,54.07,0.8,68.74,52.91,9.84,33.8
68.84,52.96,53.86,0.79,68.84,52.96,9.82,33.8
67.92,52.34,54.74,0.83,67.92,52.34,9.49,33.8
63.97,38.07,39.52,0.71,63.97,41.34,9.97,9.1
64.03,38.07,39.43,0.71,64.03,41.37,9.97,9.1
62.37,37.79,38.72,0.71,62.37,40.33,9.97,9.1
62.3,37.82,38.53,0.71,62.3,40.28,9.97,9.1
62.71,36.73,40.86,0.75,62.71,40.79,9.74,9.1
62.56,36.6,40.12,0.75,62.56,40.13,9.77,9.1
61.8,41.07,44.05,0.79,61.8,43.48,9.53,14.0
63.23,38.35,43.76,0.81,63.23,41.27,9.03,14.0
62.65,39.86,44.23,0.81,62.65,42.63,9.21,14.0
63.0,39.1,44.55,0.83,63.0,41.84,8.99,14.0
62.9,39.43,44.52,0.83,62.9,42.03,9.05,14.0
62.78,39.69,44.33,0.82,62.78,42.18,9.14,14.0
55.31,26.7,37.6,0.88,55.31,31.5,5.77,34.0
61.03,26.65,34.67,0.75,61.03,30.6,8.83,34.0
61.51,25.87,35.01,0.8,61.51,30.58,8.49,34.0
61.24,25.95,35.06,0.79,61.24,30.88,8.45,34.0
60.96,26.04,35.13,0.79,60.96,31.13,8.36,34.0
60.66,26.06,35.14,0.78,60.66,31.1,8.47,34.0
53.99,32.65,40.16,0.93,53.99,32.65,4.06,49.3
53.97,32.4,39.82,0.92,53.97,32.4,4.0,49.3
53.13,32.31,41.1,0.95,53.13,33.5,4.26,49.3
53.53,35.84,42.68,0.93,53.53,36.21,4.86,49.3
53.94,34.07,41.5,0.94,53.94,34.07,4.18,49.3
53.98,34.2,41.65,0.94,53.98,34.2,4.21,49.3
54.25,33.56,44.68,0.95,54.25,37.21,3.64,28.0
54.41,35.4,45.74,0.98,54.41,38.01,3.66,28.0
55.18,35.92,45.48,0.95,55.18,38.34,4.17,28.0
45.26,26.68,29.26,0.66,48.56,33.75,9.98,40.8
43.77,28.42,31.09,0.76,45.81,32.31,9.37,40.8
43.85,28.62,31.13,0.76,45.94,32.55,9.44,40.8
44.59,29.37,31.35,0.74,47.49,34.49,9.97,40.8
44.45,29.8,31.3,0.74,47.25,34.25,9.97,40.8
44.15,24.75,29.64,0.7,47.8,32.08,9.99,40.8
59.27,30.76,36.58,0.77,59.27,35.06,9.36,13.2
59.14,30.58,36.59,0.77,59.14,34.86,9.34,13.2
58.36,29.54,38.22,0.84,58.36,33.85,8.88,13.2
58.82,29.77,38.27,0.83,58.82,34.18,8.88,13.2
59.5,32.87,38.07,0.79,59.5,35.95,9.32,13.2
57.86,29.61,38.3,0.85,57.86,33.71,8.73,13.2
61.13,29.57,29.09,0.58,61.13,35.07,10.0,54.1
60.92,28.18,28.76,0.59,60.92,34.68,10.0,54.1
60.91,28.34,28.77,0.59,60.91,34.76,10.0,54.1
63.19,34.11,30.61,0.54,63.19,40.27,10.0,41.7
63.21,33.65,30.76,0.55,63.21,39.79,10.0,41.7
63.9,29.28,31.96,0.62,63.9,35.61,10.0,41.7
62.05,31.32,31.15,0.59,62.05,37.61,10.0,41.7
63.59,32.24,31.12,0.57,63.59,38.44,10.0,41.7
62.03,32.59,31.05,0.59,62.03,37.84,10.0,41.7
58.65,14.92,22.87,0.59,58.65,22.69,10.0,28.2
58.71,14.93,22.76,0.58,58.71,22.71,10.0,28.2
58.59,14.78,22.95,0.59,58.59,22.59,10.0,28.2
57.26,14.85,23.86,0.62,57.26,22.07,10.0,28.2
56.96,15.24,23.98,0.63,56.96,22.22,10.0,28.2
58.51,15.2,23.22,0.59,58.51,22.78,10.0,28.2
54.86,39.96,44.14,0.87,54.86,40.73,7.25,43.1
66.97,50.05,51.7,0.79,66.97,50.05,9.68,72.2
66.28,51.23,53.16,0.86,66.28,51.23,8.93,37.6
66.56,50.21,52.41,0.85,66.56,50.21,9.02,37.6
65.31,45.87,51.7,0.85,65.31,48.64,9.39,37.6
65.29,45.72,51.73,0.86,65.29,48.54,9.36,37.6
65.96,46.63,51.82,0.83,65.96,49.4,9.64,37.6
67.71,50.98,53.12,0.84,67.71,50.98,9.39,37.6
57.79,27.9,37.27,0.83,57.79,34.06,8.84,10.6
58.97,28.65,34.81,0.75,58.97,34.15,9.54,10.6
57.45,27.4,37.42,0.85,57.45,33.34,8.74,10.6
57.16,26.78,36.54,0.82,57.16,33.55,8.79,10.6
57.96,26.53,34.31,0.76,57.96,33.05,9.42,10.6
57.91,26.43,34.41,0.76,57.91,33.01,9.4,10.6
63.12,43.18,43.69,0.73,63.12,46.95,9.6,11.2
63.06,43.33,43.81,0.73,63.06,47.05,9.61,11.2
62.99,43.52,43.98,0.74,62.99,47.14,9.62,11.2
63.58,41.69,42.43,0.73,63.58,44.84,9.31,11.2
63.66,42.01,42.01,0.72,63.66,45.52,9.68,11.2
63.37,42.65,43.06,0.72,63.37,46.39,9.66,11.2
57.13,19.06,29.09,0.76,57.13,21.69,9.52,34.2
57.09,17.83,28.94,0.75,57.09,21.93,9.49,34.2
57.08,17.72,28.91,0.75,57.08,21.95,9.49,34.2
57.06,17.47,28.77,0.75,57.06,22.17,9.47,34.2
57.04,17.23,28.52,0.73,57.04,22.58,9.45,34.2
57.05,17.36,28.68,0.74,57.05,22.3,9.47,34.2
60.49,32.75,32.19,0.63,60.49,36.94,10.0,11.6
60.56,33.12,32.4,0.64,60.56,37.25,10.0,11.6
60.29,31.48,31.26,0.63,60.29,35.41,10.0,11.6
60.21,31.53,31.24,0.63,60.21,35.51,10.0,11.6
60.26,31.31,31.23,0.63,60.26,35.36,10.0,11.6
60.6,33.36,32.89,0.64,60.6,36.86,9.98,11.6
56.61,20.22,29.92,0.72,56.61,25.37,7.64,44.8
56.55,20.54,29.9,0.72,56.55,25.44,7.66,44.8
56.66,20.09,30.32,0.72,56.66,25.5,7.65,44.8
56.63,20.33,31.03,0.73,56.63,25.78,7.32,44.8
56.43,21.47,31.2,0.73,56.43,26.14,7.54,44.8
56.61,20.39,30.38,0.73,56.61,25.58,7.63,44.8
37.97,26.93,32.93,0.88,44.01,31.8,6.03,35.3
37.45,27.01,33.06,0.89,42.93,32.05,5.62,35.3
37.54,27.1,32.96,0.88,43.45,31.94,5.97,35.3
37.54,27.15,32.92,0.88,43.52,31.92,6.05,35.3
36.09,27.48,32.74,0.88,41.65,32.29,6.04,35.3
36.25,27.47,32.78,0.88,41.77,32.27,6.02,35.3
63.7,50.59,51.85,0.83,63.7,50.59,9.83,9.0
63.79,51.37,51.71,0.82,63.79,51.37,9.85,9.0
63.62,51.19,51.6,0.82,63.62,51.19,9.84,9.0
63.64,50.89,51.69,0.83,63.64,50.89,9.83,9.0
59.22,25.02,27.8,0.63,59.22,29.3,10.0,32.8
59.49,25.55,28.13,0.64,59.49,30.25,10.0,32.8
59.32,25.44,27.85,0.64,59.32,29.85,10.0,32.8
59.34,25.21,27.86,0.64,59.34,29.89,10.0,32.8
59.11,25.15,27.19,0.62,59.11,28.55,10.0,32.8
59.23,24.94,27.78,0.62,59.23,29.25,10.0,32.8
56.69,26.72,37.33,0.87,56.69,30.33,4.99,32.8
56.75,26.56,37.3,0.86,56.75,30.27,4.97,32.8
56.76,26.56,37.3,0.86,56.76,30.27,4.98,32.8
56.68,26.8,37.32,0.87,56.68,30.36,5.02,32.8
56.46,26.09,36.9,0.86,56.46,29.94,5.0,32.8
55.15,26.74,38.03,0.89,55.15,30.21,4.38,32.8
57.55,20.34,26.13,0.63,57.55,26.25,10.0,19.9
57.45,20.75,26.47,0.63,57.45,26.21,9.96,19.9
57.36,20.65,26.38,0.63,57.36,26.41,9.97,19.9
57.48,21.37,26.27,0.62,57.48,26.83,10.0,19.9
57.59,20.21,26.03,0.63,57.59,25.83,10.0,19.9
57.6,20.35,26.11,0.63,57.6,26.08,10.0,19.9
61.05,27.53,29.95,0.66,61.05,32.49,10.0,10.2
61.04,27.39,29.87,0.65,61.04,32.43,10.0,10.2
61.03,27.31,29.82,0.65,61.03,32.41,10.0,10.2
60.91,26.25,29.02,0.64,60.91,31.72,9.99,10.2
60.69,29.17,30.61,0.65,60.69,34.16,9.97,10.2
60.61,29.19,30.56,0.65,60.61,33.85,9.97,10.2
67.3,51.35,53.89,0.85,67.3,51.35,9.23,54.9
68.65,50.01,52.97,0.82,68.65,50.01,8.8,54.9
68.19,51.09,53.39,0.82,68.19,51.09,8.55,54.9
68.24,50.88,53.32,0.82,68.24,50.88,8.58,54.9
68.39,51.48,53.42,0.82,68.39,51.48,9.29,54.9
68.6,48.23,53.0,0.83,68.6,49.78,8.95,54.9
58.6,20.46,27.37,0.65,58.6,25.75,9.73,27.3
58.69,20.33,27.44,0.65,58.69,25.71,9.71,27.3
58.49,20.64,27.28,0.65,58.49,25.8,9.76,27.3
58.65,20.61,27.31,0.65,58.65,25.85,9.75,27.3
58.25,20.61,27.28,0.65,58.25,25.65,9.78,27.3
58.22,20.34,27.38,0.65,58.22,25.55,9.73,27.3
69.79,52.91,53.03,0.77,69.79,52.91,9.75,55.3
68.55,53.07,53.61,0.8,68.55,53.07,9.76,55.3
68.96,53.98,53.9,0.8,68.96,53.98,9.7,55.3
68.64,53.25,53.66,0.8,68.64,53.25,9.74,55.3
68.84,53.35,53.58,0.79,68.84,53.35,9.7,55.3
65.89,51.75,53.16,0.85,65.89,51.75,8.77,58.5
66.85,51.65,53.21,0.84,66.85,51.65,9.05,58.5
67.0,51.36,53.05,0.83,67.0,51.36,9.13,58.5
36.44,28.37,28.9,0.63,44.68,35.66,9.84,37.8
35.76,28.39,28.77,0.63,44.4,35.66,9.86,37.8
35.09,27.18,29.33,0.67,43.54,35.02,9.89,37.8
34.66,30.18,27.81,0.61,43.6,37.6,9.88,37.8
34.6,29.9,27.88,0.61,43.54,37.45,9.87,37.8
34.87,29.99,27.96,0.61,43.73,37.49,9.87,37.8
58.11,19.65,26.17,0.61,58.11,26.18,10.0,25.5
57.75,19.17,26.16,0.6,57.75,25.89,10.0,25.5
58.22,20.08,26.19,0.6,58.22,26.46,10.0,25.5
58.1,19.87,26.22,0.61,58.1,26.3,10.0,25.5
58.34,18.83,25.42,0.61,58.34,25.41,10.0,25.5
58.36,21.07,26.12,0.59,58.36,27.51,10.0,25.5
32.06,27.13,33.39,0.94,37.92,32.51,7.47,68.5
33.56,26.57,34.27,0.95,39.15,32.29,8.54,68.5
33.57,26.89,34.38,0.95,39.17,32.56,8.54,68.5
33.54,26.43,34.22,0.95,39.14,32.16,8.54,68.5
33.44,25.59,33.92,0.95,39.06,31.46,8.54,68.5
33.41,25.35,33.83,0.95,39.03,31.26,8.54,68.5
64.48,35.79,35.6,0.64,64.48,39.6,10.0,17.0
63.65,35.45,35.76,0.65,63.65,39.03,10.0,17.0
64.17,35.63,35.72,0.64,64.17,39.37,10.0,17.0
64.22,35.42,35.99,0.65,64.22,39.3,10.0,17.0
63.66,35.33,35.89,0.66,63.66,38.99,10.0,17.0
63.61,36.95,36.85,0.66,63.61,40.45,9.77,17.0
62.67,39.49,41.89,0.75,62.67,42.29,9.91,20.4
62.7,39.4,41.83,0.75,62.7,42.23,9.92,20.4
62.68,39.3,41.85,0.75,62.68,42.11,9.91,20.4
62.61,39.4,41.93,0.75,62.61,42.18,9.91,20.4
62.61,39.45,41.91,0.75,62.61,42.25,9.91,20.4
62.59,39.44,41.94,0.75,62.59,42.22,9.91,20.4
59.64,23.83,27.09,0.59,59.64,28.86,10.0,26.5
59.01,22.51,26.54,0.59,59.01,27.72,10.0,26.5
59.39,25.05,27.88,0.62,59.39,29.92,10.0,26.5
58.88,25.79,28.9,0.64,58.88,30.5,9.95,26.5
59.45,25.26,27.54,0.6,59.45,29.73,10.0,26.5
59.25,24.72,27.67,0.62,59.25,29.11,10.0,26.5
57.18,20.74,30.54,0.73,57.18,25.45,7.76,47.4
56.79,22.6,31.4,0.74,56.79,27.05,8.01,47.4
56.42,21.69,30.8,0.73,56.42,26.06,7.56,47.4
56.42,21.63,30.75,0.73,56.42,26.03,7.56,47.4
56.43,21.66,30.92,0.73,56.43,26.04,7.56,47.4
56.31,22.51,31.31,0.73,56.31,26.42,7.52,47.4
59.27,31.45,42.3,0.75,59.27,36.14,8.54,31.3
59.28,30.94,42.25,0.76,59.28,35.71,8.51,31.3
