CO2,Radiation,diameter,humidity,outside_temperature,inside_temperature,measurement,Yield
46.22,27.19,26.3,0.61,48.18,33.51,10.0,52.4
48.16,27.81,25.0,0.57,49.01,34.28,10.0,52.4
48.14,27.81,25.07,0.57,49.02,34.38,10.0,52.4
47.5,28.55,25.84,0.57,49.31,34.73,10.0,52.4
44.41,25.51,31.02,0.79,44.41,32.84,9.76,38.4
44.22,25.35,30.83,0.79,44.22,32.68,9.79,38.4
42.73,27.39,32.03,0.79,46.22,33.98,9.62,38.4
42.78,26.73,31.5,0.8,44.72,33.6,9.74,38.4
42.79,26.79,31.52,0.8,44.82,33.64,9.74,38.4
37.85,22.75,30.32,0.83,42.26,29.85,9.68,38.4
58.84,31.51,38.77,0.8,58.84,36.63,9.71,18.1
58.53,32.33,38.94,0.8,58.53,37.27,9.76,18.1
57.58,34.82,40.28,0.81,57.58,38.62,9.83,18.1
57.25,35.43,40.3,0.81,57.25,38.37,9.88,18.1
56.85,34.67,39.8,0.79,56.85,38.61,9.87,18.1
57.12,35.46,40.61,0.82,57.12,38.14,9.96,18.1
62.4,42.29,45.41,0.76,62.4,45.37,9.94,27.1
62.29,42.4,46.18,0.78,62.29,45.72,9.86,27.1
62.38,42.24,46.54,0.79,62.38,45.66,9.85,27.1
62.94,42.11,46.48,0.79,62.94,45.48,9.86,27.1
57.26,32.02,34.01,0.66,57.26,37.05,9.96,47.4
57.24,31.78,34.0,0.66,57.24,37.2,9.96,47.4
57.28,32.08,34.03,0.66,57.28,37.03,9.96,47.4
57.27,31.93,34.02,0.66,57.27,37.12,9.96,47.4
57.35,32.45,34.09,0.66,57.35,36.89,9.96,47.4
54.96,29.65,32.51,0.67,54.96,36.35,9.97,47.4
46.07,25.24,27.67,0.62,46.07,35.71,10.0,34.2
46.05,25.16,27.63,0.62,46.05,35.65,10.0,34.2
46.06,25.37,27.66,0.62,46.06,35.75,10.0,34.2
46.56,26.09,28.41,0.62,46.56,36.43,10.0,34.2
45.58,30.95,29.37,0.62,46.58,37.2,10.0,34.2
45.43,30.99,29.34,0.62,46.57,37.25,10.0,34.2
54.06,22.69,27.93,0.66,54.06,27.96,9.95,51.2
54.15,23.7,28.18,0.66,54.15,28.51,9.9,51.2
54.37,24.05,28.57,0.66,54.37,28.48,9.89,51.2
54.57,22.65,27.68,0.66,54.57,27.5,9.93,51.2
54.58,22.65,27.67,0.66,54.58,27.48,9.93,51.2
53.98,25.02,28.66,0.65,53.98,29.4,9.85,51.2
67.56,38.73,46.88,0.79,67.56,41.85,9.22,13.6
67.38,37.96,46.89,0.8,67.38,41.37,9.15,13.6
65.7,35.1,43.24,0.72,65.7,39.99,10.0,56.6
57.4,26.39,32.06,0.66,57.4,32.14,9.89,31.1
57.41,26.43,32.01,0.66,57.41,32.12,9.89,31.1
57.41,26.55,33.08,0.68,57.41,32.84,9.85,31.1
57.51,26.33,31.26,0.65,57.51,31.72,9.9,31.1
57.96,27.06,33.5,0.69,57.96,33.11,9.83,31.1
58.06,26.55,33.66,0.7,58.06,32.76,9.83,31.1
58.43,32.63,40.14,0.79,58.43,38.95,9.84,23.8
58.04,32.66,39.98,0.79,58.04,38.98,9.86,23.8
62.52,31.64,41.94,0.8,62.52,37.26,9.4,23.8
62.64,30.94,41.67,0.8,62.64,36.76,9.36,23.8
56.97,34.17,40.11,0.8,56.97,38.35,9.94,23.8
57.27,33.96,40.21,0.8,57.27,38.52,9.92,23.8
67.74,39.5,46.85,0.78,67.74,42.44,9.4,11.5
